timestamp,omega_x,omega_y,omega_z,alpha_x,alpha_y,alpha_z
607743452025963,0.185032,0.517906,0.0741377,-3.32804,8.32729,4.37434
607743456028696,0.195416,0.497748,0.0808572,-3.0934,8.20757,4.35758
607743460031396,0.199692,0.486752,0.0790246,-2.85637,8.12138,4.38392
607743464034062,0.206412,0.490417,0.0710833,-2.66483,8.03998,4.41983
607743468036728,0.218018,0.500191,0.0570334,-2.45653,8.028,4.45814
607743472039428,0.219851,0.508743,0.0466487,-2.37751,7.99927,4.37673
607743476042094,0.218018,0.510576,0.0277119,-2.32245,7.99927,4.3504
607743480044794,0.216186,0.503245,0.0014447,-2.29611,8.02561,4.29772
607743484047494,0.203358,0.496526,-0.0138269,-2.26977,8.00406,4.28336
607743488050194,0.191751,0.483087,-0.0400941,-2.32005,7.9873,4.26181
607743492052894,0.170982,0.479422,-0.0517006,-2.35118,7.98491,4.25463
607743496055594,0.159986,0.470259,-0.063307,-2.44455,8.01843,4.29772
607743500058260,0.146547,0.456209,-0.063307,-2.54272,8.06631,4.34082
607743504060893,0.136162,0.443381,-0.059031,-2.66243,8.14293,4.41504
607743508063593,0.116004,0.412837,-0.0455919,-2.81327,8.20039,4.43659
607743512066293,0.102565,0.375575,-0.0217682,-3.0096,8.32968,4.41504
607743516068959,0.0866824,0.338923,-0.00527482,-3.12453,8.42066,4.37673
607743520071659,0.065913,0.285777,0.0240467,-3.19636,8.48292,4.35519
607743524074359,0.0549174,0.246071,0.0478705,-3.20115,8.5332,4.32885
607743528077025,0.0365914,0.232632,0.0674181,-3.11256,8.5739,4.27378
607743532079725,0.0280393,0.224691,0.0790246,-3.02157,8.58826,4.22111
607743536082391,0.0170438,0.222247,0.0930745,-2.9282,8.61939,4.19716
607743540085057,0.00238299,0.227745,0.099794,-2.74384,8.62178,4.22589
607743544087757,-0.00250394,0.243017,0.0918528,-2.58103,8.61221,4.22589
607743548090457,0.00177212,0.274782,0.0796354,-2.48765,8.58348,4.23787
607743552093090,-0.0031148,0.288221,0.0686399,-2.38949,8.56672,4.31927
607743556095756,-0.0049474,0.299827,0.0484813,-2.32963,8.4901,4.34321
607743560099189,-0.00861259,0.312045,0.0216032,-2.23146,8.39672,4.33843
607743564101855,0.00055039,0.315099,-0.0138269,-2.10457,8.26743,4.40307
607743568104521,0.00421558,0.283334,-0.0339855,-2.07584,8.22194,4.52757
607743572107221,0.00726991,0.242406,-0.0626962,-2.10936,8.16927,4.58982
607743576109887,0.011546,0.166048,-0.0889634,-2.18118,8.17884,4.53715
607743580112587,0.0091025,0.101907,-0.103624,-2.35357,8.23391,4.47969
607743584115253,-0.00250394,0.0438748,-0.105457,-2.49962,8.29137,4.39828
607743588117986,-0.00922345,-0.0208769,-0.110344,-2.62413,8.30813,4.31927
607743592120652,-0.0134995,-0.038592,-0.101181,-2.69356,8.29856,4.32406
607743596123318,-0.0153321,-0.0422572,-0.0932394,-2.68159,8.3225,4.37673
607743600126018,-0.00983432,-0.025153,-0.0822438,-2.64807,8.31532,4.42462
607743604128651,-0.0110561,0.00661201,-0.0657505,-2.69595,8.33926,4.40786
607743608131351,0.00116125,0.0298249,-0.0468137,-2.81088,8.37996,4.50603
607743612134051,0.00543731,0.0530378,-0.0284877,-2.91383,8.42785,4.63532
607743616136717,0.0182655,0.0860245,0.00327729,-3.02876,8.49489,4.69996
607743620139417,0.0255959,0.100074,0.0356531,-3.20115,8.51165,4.74785
607743624142117,0.0408675,0.0976309,0.0515356,-3.25382,8.52601,4.79813
607743628144817,0.0524739,0.0976309,0.0704725,-3.28255,8.50207,4.88671
607743632147517,0.0653021,0.120844,0.0900202,-3.25861,8.42545,4.90347
607743636150217,0.0714108,0.141613,0.0985723,-3.14608,8.35841,4.88193
607743640152917,0.0805737,0.173378,0.0991831,-3.00721,8.32489,4.85798
607743644155583,0.0970671,0.198424,0.102237,-2.87074,8.3201,4.81728
607743648158249,0.101954,0.221026,0.101016,-2.75342,8.33447,4.70236
607743652160915,0.097678,0.227745,0.103459,-2.73666,8.35841,4.59222
607743656163615,0.102565,0.219193,0.10407,-2.72468,8.39912,4.45575
607743660166315,0.0879041,0.189872,0.0979614,-2.6744,8.45897,4.2642
607743664169015,0.0799629,0.148944,0.0912419,-2.65286,8.45658,4.17562
607743668171681,0.0762977,0.0994635,0.0918528,-2.58582,8.47813,4.10379
607743672174414,0.0573609,0.0371553,0.077192,-2.52357,8.50686,3.98647
607743676177147,0.0427001,-0.00438357,0.0710833,-2.47807,8.55714,3.86675
607743680179113,0.0317045,-0.0440898,0.05459,-2.44695,8.54756,3.82605
607743684181779,0.0231524,-0.0911264,0.0387075,-2.44934,8.52601,3.86915
607743688184512,0.0146003,-0.116172,0.0332097,-2.47089,8.4901,3.91464
607743692187178,0.011546,-0.134498,0.0197707,-2.53075,8.48052,3.92182
607743696189844,0.00055039,-0.139996,0.0106077,-2.53314,8.47813,3.92182
607743700192510,-0.00189307,-0.145493,-0.000387899,-2.5523,8.45179,3.98168
607743704195210,0.00482645,-0.150991,-0.0132161,-2.56666,8.37757,4.12294
607743708197843,0.0091025,-0.147937,-0.0162704,-2.56906,8.32729,4.22589
607743712200543,0.0133786,-0.135109,-0.0193247,-2.60018,8.33447,4.30491
607743716203243,0.0243741,-0.116172,-0.0254334,-2.64089,8.31053,4.34082
607743720205909,0.0262067,-0.0996786,-0.0284877,-2.67919,8.32968,4.36716
607743724208642,0.0317045,-0.0856286,-0.0260442,-2.70314,8.33208,4.41265
607743728211308,0.047587,-0.0801309,-0.0290986,-2.75102,8.39193,4.44856
607743732213974,0.0512522,-0.0630266,-0.0205465,-2.73905,8.38715,4.42941
607743736216707,0.0616369,-0.0257639,-0.0333746,-2.66962,8.38715,4.41265
607743740219407,0.0775194,0.0255488,-0.0376507,-2.64089,8.37039,4.4318
607743744222073,0.0860715,0.0615899,-0.0388724,-2.63131,8.35362,4.42941
